representation,model_name,n_clusters_requested,n_clusters_found,silhouette,davies_bouldin,calinski_harabasz,mean_dominant_purity,mean_scoliosis_rate,scoliosis_dominant_clusters,quality_score,bic,aic
standard_scaled,gmm_spherical,24,24,0.06904139369726181,1.9346577824875262,120.82809448242188,0.7509516864986834,0.7485266424069725,23,0.3415429416660657,102257.69921297474,99253.40512526702
standard_kpca_rbf,bayesian_gmm_full,24,24,0.0802801176905632,2.0637811671007724,112.41018676757812,0.7423877631545567,0.6993311282901988,20,0.34044089902202673,,
robust_kpca_cosine,gmm_tied,24,24,0.09224672615528107,2.221623795884494,108.4970932006836,0.7348810278312801,0.7143579969634216,21,0.33957595388777273,-20620.25526925551,-23715.761321675418
robust_kpca_poly,gmm_full,24,24,0.008124801330268383,1.589197912386247,164.96849060058594,0.7960675459278171,0.7782104030706744,23,0.33903142266583597,-16301.797223197598,-37229.24237685041
standard_kpca_cosine,gmm_tied,24,24,0.08515750616788864,2.0789462177413442,111.15801239013672,0.7284224340510583,0.7229003456976445,23,0.33804421953265495,-18346.878835943688,-21442.384888363595
minmax_kpca_rbf,gmm_tied,24,24,0.06022297590970993,2.1180743178470003,109.9916000366211,0.7668262807153132,0.7609550685941011,22,0.3373259146397132,-130633.79587027624,-133729.30192269615
minmax_kpca_cosine,gmm_tied,24,24,0.0664365217089653,2.1474363742484788,114.25772094726562,0.7585336949455682,0.755359091770965,22,0.3368862664539223,-100324.62323669034,-103420.12928911025
robust_kpca_cosine,gmm_diag,24,24,0.07731157541275024,2.056497230476265,111.9667739868164,0.7336277068979591,0.6997108665366745,20,0.33667149549476516,-20383.121112110774,-24892.412617569607
robust_kpca_sigmoid,gmm_tied,24,24,0.06959041953086853,2.2228808126332855,103.63957214355469,0.7583605973716888,0.7516476344087258,22,0.33639422028275046,-119540.91593468357,-122636.42198710347
standard_kpca_sigmoid,gmm_tied,24,24,0.054846666753292084,2.173501138382876,93.12742614746094,0.7762135035812592,0.764585596604515,23,0.3363223979925831,-108403.95779929704,-111499.46385171695
minmax_kpca_sigmoid,gmm_full,24,24,0.06576379388570786,2.074825557311383,113.9415054321289,0.7410074914910406,0.7151966806802298,22,0.33320138010628975,-229340.78165167672,-250268.22680532953
standard_kpca_cosine,gmm_diag,24,24,0.05894483998417854,2.065008179940545,104.5051040649414,0.7503245302787818,0.7222068736616126,21,0.3331883879072456,-17552.451345135047,-22061.74285059388
standard_scaled,gmm_tied,24,24,0.05494467541575432,2.360817896614637,90.91545867919922,0.779116647650465,0.779116647650465,24,0.33284675281765763,79620.83928615104,75556.20610866412
robust_kpca_sigmoid,gmm_diag,24,24,0.0712302178144455,2.2143055419018043,105.92951965332031,0.7428515432424622,0.7268274404322451,22,0.33268635899062415,-119236.75549992693,-123746.04700538577
robust_kpca_cosine,bayesian_gmm_full,24,24,0.0692366287112236,2.1567975025411443,97.69532012939453,0.7357118225635043,0.7194126286327315,22,0.33106421297097416,,
standard_kpca_linear,gmm_tied,24,24,0.0478287935256958,2.2269662395176746,100.48467254638672,0.7731426652847407,0.7612892170088786,22,0.33093790278200064,85873.11123447314,82777.60518205323
standard_pca,gmm_tied,24,24,0.0478287935256958,2.226966300744716,100.48465728759766,0.7731426652847407,0.7612892170088786,22,0.3309379013120782,85873.11360234786,82777.60754992795
standard_kpca_cosine,gmm_full,24,24,0.06650026142597198,2.2404629995825456,102.63097381591797,0.7446064748045309,0.7151480936491502,22,0.33045652916576923,-11483.034146166054,-32410.479299818864
standard_kpca_rbf,bayesian_gmm_diag,24,23,0.02641957625746727,1.736024841112813,95.42406463623047,0.7530888946580461,0.6765795390060847,18,0.32918891710731063,,
standard_kpca_linear,gmm_diag,24,24,0.05596223473548889,1.9796930423804675,105.31092834472656,0.733004253662584,0.7194157089518886,22,0.3289855415052407,86105.60832087534,81596.3168154165
standard_pca,gmm_diag,24,24,0.05596223101019859,1.9796931028785825,105.31092834472656,0.733004253662584,0.7194157089518886,22,0.3289855381253732,86105.6124309231,81596.32092546426
robust_pca,gmm_diag,24,24,0.06341986358165741,2.229222973284403,108.73917388916016,0.7409111148947249,0.7186769194924261,22,0.32823027798978655,75630.15352150827,71120.86201604943
robust_kpca_linear,gmm_diag,24,24,0.06341986358165741,2.2292230494504826,108.73918151855469,0.7409111148947249,0.7186769194924261,22,0.32823027616376654,75630.15554191229,71120.86403645345
robust_kpca_cosine,gmm_full,24,24,0.07035357505083084,2.2537860378174748,101.54837036132812,0.7314398118793614,0.7161457071816111,22,0.3279246231659711,-14599.43930622983,-35526.88445988264
minmax_kpca_cosine,gmm_diag,24,24,0.0476749949157238,2.1315360690931664,113.74581146240234,0.7546814761244071,0.6908209319067199,21,0.3276912164140481,-99999.77872901694,-104509.07023447577
robust_kpca_poly,spectral_nn,24,24,0.005947038996964693,1.5906949326297022,105.8584213256836,0.7595788789771826,0.723513689293572,20,0.3270490357028235,,
minmax_kpca_rbf,gmm_diag,24,24,0.0405857153236866,2.1570694726348405,109.18778228759766,0.7548341665301029,0.7214691914077637,20,0.3239011828446759,-130950.12266883072,-135459.41417428956
minmax_pca,gmm_tied,24,24,0.04729434847831726,2.3992866159150767,108.26289367675781,0.7632855898574915,0.7539318483608929,23,0.3238129766314384,-46578.37894355312,-49673.88499597303
minmax_kpca_linear,gmm_tied,24,24,0.04729433357715607,2.3992872118631743,108.26286315917969,0.7632855898574915,0.7539318483608929,23,0.32381295703235713,-46578.37437453482,-49673.880426954725
standard_kpca_cosine,bayesian_gmm_full,24,24,0.04681681841611862,2.198480245300353,88.77397155761719,0.739058284055762,0.7232109734716093,22,0.3209471745198408,,
minmax_kpca_linear,gmm_diag,24,24,0.0387701541185379,2.3877938840290422,102.70114135742188,0.7573715562058805,0.7264259702089246,22,0.3184523721629235,-47418.4990161899,-51927.79052164873
minmax_pca,gmm_diag,24,24,0.03877010941505432,2.3877946123612177,102.70113372802734,0.7573715562058805,0.7264259702089246,22,0.3184523361815248,-47418.63079105455,-51927.92229651338
standard_scaled,bayesian_gmm_diag,24,23,0.03810453787446022,2.1633747775843615,98.57289123535156,0.7407979359979752,0.703097511896291,19,0.3184159459242295,,
robust_pca,bayesian_gmm_full,24,24,0.0375412181019783,2.1038080875515983,88.33313751220703,0.7358266614577156,0.7107808358136386,20,0.3181877636649477,,
robust_kpca_linear,bayesian_gmm_full,24,24,0.0375412181019783,2.103808153950285,88.33313751220703,0.7358266614577156,0.7107808358136386,20,0.3181877619418505,,
robust_scaled,bayesian_gmm_diag,24,22,0.021506382152438164,2.28907768002538,90.99102783203125,0.7748280018183106,0.7425615786884283,18,0.3181354228963552,,
robust_kpca_sigmoid,bayesian_gmm_full,24,24,0.032233674079179764,2.2938611922114247,85.14051818847656,0.7580414361388881,0.7336584271213274,22,0.31781635021854493,,
minmax_kpca_poly,gmm_diag,24,24,0.035992465913295746,2.3253529019009167,105.7225570678711,0.7518470619964163,0.7420827522321066,22,0.3169307188879971,-102419.38940455981,-106928.68091001865
standard_kpca_sigmoid,gmm_full,24,24,0.02589976042509079,2.3994035344650437,81.28099060058594,0.7682313255975411,0.7416436698303189,20,0.3156666032397549,-106046.65599034398,-126974.10114399678
standard_kpca_sigmoid,bayesian_gmm_full,24,24,0.022333405911922455,2.3713622864975012,79.24546813964844,0.7681093153595673,0.7315947322724036,20,0.31463682756694666,,
standard_scaled,gmm_full,24,24,0.016744935885071754,2.327329280567135,74.72734832763672,0.7643241735303613,0.72883993152438,22,0.3119678081620929,48793.47811713828,17194.233092159386
standard_kpca_sigmoid,gmm_diag,24,24,0.03925425559282303,2.3815740068505593,91.86100006103516,0.7338208644260753,0.7119779186610731,21,0.31174074344659625,-107917.71437733328,-112427.00588279212
