patient_key,heatmap_mse,heatmap_mae,heatmap_soft_dice,heatmap_corr,target_mask_pixels,pred_mask_fixed_pixels,dice_fixed_thresh,iou_fixed_thresh,dice_topk_same_area,iou_topk_same_area
S_122,0.09631429612636566,0.30513283610343933,0.0514267198741436,-0.22528602451854773,3479,0,2.874389192288375e-12,2.874389192288375e-12,0.13108667713961006,0.07014058679848695
S_123,0.09815371036529541,0.3085086941719055,0.03863213211297989,-0.2847084485579771,2640,0,3.7878787878644404e-12,3.7878787878644404e-12,0.13220018885905155,0.07077856420814807
S_124,0.09728969633579254,0.3074605464935303,0.05663861334323883,0.024407256211416754,3614,0,2.7670171554987078e-12,2.7670171554987078e-12,0.3539162867808345,0.21500503524804462
S_125,0.09691014885902405,0.307680606842041,0.04760351404547691,0.018198714874232646,2968,0,3.3692722371854136e-12,3.3692722371854136e-12,0.31823539316498023,0.18922707248860787
S_126,0.10023307055234909,0.3123730719089508,0.039130907505750656,-0.3813274224858129,2834,0,3.5285815102204356e-12,3.5285815102204356e-12,0.09018847983249922,0.04722375945573285
S_127,0.10140185058116913,0.312649667263031,0.06559354811906815,-0.2032459318472917,4379,0,2.2836263987159543e-12,2.2836263987159543e-12,0.17457607829842425,0.09563591022556654
S_128,0.09440203011035919,0.3031066060066223,0.03802155703306198,-0.40657613528610714,3248,0,3.0788177339806687e-12,3.0788177339806687e-12,0.02972724486817388,0.015087883031552203
S_129,0.09109236299991608,0.29752758145332336,0.0509440042078495,0.04223318573975208,3131,0,3.193867773863961e-12,3.193867773863961e-12,0.3035600762884559,0.1789394791096516
S_130,0.09218217432498932,0.2987312972545624,0.055471789091825485,-0.023248954215865373,3512,0,2.8473804100146718e-12,2.8473804100146718e-12,0.25722008820706044,0.14759183673608556
S_131,0.10276241600513458,0.3167862892150879,0.04851881414651871,-0.16803949980217336,3132,0,3.1928480204240334e-12,3.1928480204240334e-12,0.1350748646079403,0.07242910830360022
S_132,0.09516377002000809,0.30291181802749634,0.04798675701022148,-0.30438379781204083,3591,0,2.7847396268371353e-12,2.7847396268371353e-12,0.12939053172410192,0.06917025382355771
S_133,0.08640596270561218,0.2894440293312073,0.04464263468980789,-0.1158656043583361,2900,0,3.448275862057075e-12,3.448275862057075e-12,0.040851355992034245,0.020851585773574818
S_134,0.09174646437168121,0.29846104979515076,0.04460854083299637,-0.19716460592971607,3409,0,2.9334115576329325e-12,2.9334115576329325e-12,0.09718969555167273,0.05107692307838296
S_135,0.09159159660339355,0.29760903120040894,0.048606179654598236,-0.2287166793102157,3378,0,2.9603315571256358e-12,2.9603315571256358e-12,0.05355575065985725,0.027514659451168978
S_136,0.0890602394938469,0.2942321002483368,0.02993304654955864,-0.30055888104591844,2371,0,4.217629692095244e-12,4.217629692095244e-12,0.03914965270671617,0.01996565049587813
S_137,0.09199828654527664,0.2982838749885559,0.04384070262312889,-0.3771843323555038,3906,0,2.5601638504798767e-12,2.5601638504798767e-12,0.0206870131541046,0.010451612904502642
S_138,0.09488647431135178,0.3032297194004059,0.04639221727848053,-0.2939788995985503,3382,0,2.9568302779333034e-12,2.9568302779333034e-12,0.05617647058962327,0.02889998487058723
S_139,0.09517160058021545,0.3044812083244324,0.036756522953510284,-0.4184150713389717,3152,0,3.1725888324772447e-12,3.1725888324772447e-12,0.031097848281716512,0.01579451180756893
S_140,0.0970674529671669,0.30791935324668884,0.037135109305381775,-0.38066921325057174,3081,0,3.2456994482205595e-12,3.2456994482205595e-12,0.0651012145764128,0.03364579846161091
S_141,0.09306713193655014,0.3010321855545044,0.04476876184344292,-0.0667247736474211,2858,0,3.498950314893286e-12,3.498950314893286e-12,0.05069043873614632,0.026004304162435432
S_142,0.09290172904729843,0.29971030354499817,0.056873202323913574,-0.1211547430237908,4244,0,2.3562676720019884e-12,2.3562676720019884e-12,0.1481568719831019,0.08000508776509793
S_143,0.09174170345067978,0.2993638813495636,0.03579847142100334,-0.18206189104299658,2713,0,3.685956505699646e-12,3.685956505699646e-12,0.08431516936840149,0.04401306938488562
S_144,0.08928042650222778,0.29484742879867554,0.041103772819042206,-0.2086138711108187,3242,0,3.0845157310207143e-12,3.0845157310207143e-12,0.029827798279474436,0.01513969096454637
S_145,0.08969448506832123,0.29528385400772095,0.045092321932315826,-0.20521488517184439,3223,0,3.10269934842351e-12,3.10269934842351e-12,0.02261462205851516,0.011436628546120261
S_146,0.09543959051370621,0.30414649844169617,0.04212227836251259,-0.315910633630494,2989,0,3.345600535284893e-12,3.345600535284893e-12,0.038863976085303335,0.019817073172391907
S_147,0.09272953122854233,0.2997881770133972,0.042242180556058884,-0.22588139307338007,2870,0,3.4843205574791487e-12,3.4843205574791487e-12,0.04251641894392929,0.021719936431181846
S_148,0.08899609744548798,0.2928803563117981,0.04682870954275131,-0.21995594367659957,3336,0,2.9976019184562424e-12,2.9976019184562424e-12,0.05439330544074358,0.02795698924880498
S_149,0.0953192487359047,0.30446892976760864,0.03762532025575638,-0.31283930607166605,2876,0,3.4770514603495235e-12,3.4770514603495235e-12,0.03244176013971969,0.01648833538148309
S_150,0.08881738036870956,0.2923477292060852,0.05707232654094696,-0.3084655661855449,4605,0,2.171552660147293e-12,2.171552660147293e-12,0.030544203055462953,0.015508955877003594
S_151,0.09448479115962982,0.3017866015434265,0.04844968765974045,-0.24986558381044907,3270,0,3.058103975525816e-12,3.058103975525816e-12,0.04248267550611256,0.02170232415111328
S_152,0.0986354649066925,0.3101246953010559,0.04061446338891983,-0.22942068199003157,2701,0,3.70233246944205e-12,3.70233246944205e-12,0.05133846718179073,0.02634550244820033
S_153,0.09492193907499313,0.30509090423583984,0.031241847202181816,-0.19400206014504745,2326,0,4.299226139276444e-12,4.299226139276444e-12,0.07074772294202342,0.0366710584123042
S_154,0.09589030593633652,0.30626052618026733,0.03435511514544487,-0.23362093776280374,2440,0,4.098360655720908e-12,4.098360655720908e-12,0.0336236580939161,0.017099299548790484
S_155,0.09607492387294769,0.30627959966659546,0.03590826690196991,-0.16963589716900798,2373,0,4.2140750105174295e-12,4.2140750105174295e-12,0.11239253512452843,0.05954232393010544
S_156,0.10025639086961746,0.313418984413147,0.041157398372888565,-0.0848329002167372,2758,0,3.625815808543779e-12,3.625815808543779e-12,0.29104611519954954,0.17030659386986496
S_157,0.09618180245161057,0.3058292865753174,0.04171435907483101,-0.25173493203009095,2894,0,3.4554250172651855e-12,3.4554250172651855e-12,0.10665294924707365,0.05633037493378676
S_158,0.0947202742099762,0.3017193675041199,0.06138788163661957,-0.16125547406373536,3969,0,2.5195263290437905e-12,2.5195263290437905e-12,0.01255177607755422,0.006315523558157995
S_160,0.09109632670879364,0.2957414388656616,0.06014123558998108,-0.11829185832231305,3999,0,2.5006251562828193e-12,2.5006251562828193e-12,0.09685831367304501,0.050893905782264263
S_161,0.09026247262954712,0.2954750955104828,0.047525275498628616,-0.15457175192267253,3336,0,2.9976019184562424e-12,2.9976019184562424e-12,0.0744586176222568,0.03866892620699635
S_162,0.09209327399730682,0.2988350987434387,0.0416194349527359,-0.22725060546960754,3447,0,2.901073397148532e-12,2.901073397148532e-12,0.1467995954354186,0.07921409636819084
S_163,0.09397172182798386,0.30193448066711426,0.038983289152383804,-0.3355320550479342,3195,0,3.1298904538243197e-12,3.1298904538243197e-12,0.09757623143221646,0.05129048167178812
S_164,0.09267055988311768,0.29864051938056946,0.05452262610197067,-0.23079812441426995,4127,0,2.423067603580269e-12,2.423067603580269e-12,0.1202225447519107,0.06395573285411922
S_165,0.10093774646520615,0.31385713815689087,0.0442734956741333,-0.2994444903515967,3016,0,3.315649867363012e-12,3.315649867363012e-12,0.10742026111534057,0.05675864477985198
S_166,0.09257396310567856,0.29797324538230896,0.06000736355781555,-0.13208742590756006,3910,0,2.557544757026707e-12,2.557544757026707e-12,0.17329073482533763,0.09486497831384516
S_167,0.09690620750188828,0.30757391452789307,0.04019181802868843,-0.21341663596941318,2718,0,3.679175864592792e-12,3.679175864592792e-12,0.13415967918495414,0.07190308714522879
S_168,0.09695002436637878,0.3077869713306427,0.036171671003103256,-0.19640689278314113,2479,0,4.0338846308832846e-12,4.0338846308832846e-12,0.10936871733190719,0.05784772437461113
S_169,0.09232017397880554,0.29745638370513916,0.06579635292291641,-0.14997497189205292,4504,0,2.22024866784587e-12,2.22024866784587e-12,0.1308494122875018,0.07000474608558375
S_170,0.09640252590179443,0.3059713840484619,0.04046628251671791,-0.39122916638291005,3177,0,3.1476235442142035e-12,3.1476235442142035e-12,0.03445036016436823,0.01752708731832771
S_171,0.09809153527021408,0.3075091242790222,0.05854388326406479,-0.27226273546763835,4484,0,2.230151650307248e-12,2.230151650307248e-12,0.12490259378924087,0.06661125623478198
S_172,0.09576918184757233,0.3046916723251343,0.04348623752593994,-0.3008994283393236,3156,0,3.1685678073410377e-12,3.1685678073410377e-12,0.07547169811466121,0.039215686276079714
S_173,0.09245762228965759,0.29962921142578125,0.046921029686927795,-0.11020639387109891,3361,0,2.9753049687504454e-12,2.9753049687504454e-12,0.10056530794540232,0.052944862156871955
S_174,0.09038553386926651,0.29355886578559875,0.06289366632699966,-0.18206247824645194,4221,0,2.3691068467131744e-12,2.3691068467131744e-12,0.050573082832269196,0.025942538490694698
S_175,0.0998038649559021,0.31151333451271057,0.042499396950006485,-0.32203402078402293,2928,0,3.4153005464364232e-12,3.4153005464364232e-12,0.07123381049919694,0.03693232019961666
S_176,0.09681499004364014,0.30592963099479675,0.053211040794849396,-0.3134450324721152,3892,0,2.5693730729635938e-12,2.5693730729635938e-12,0.10068824879033815,0.05301301838806467
S_178,0.09575844556093216,0.30551546812057495,0.0398041270673275,-0.18971297950039004,2757,0,3.6271309394137573e-12,3.6271309394137573e-12,0.13359884142082984,0.07158098933254786
S_179,0.10065913200378418,0.31337958574295044,0.03917713463306427,-0.306341882314806,2701,0,3.70233246944205e-12,3.70233246944205e-12,0.13438590049727486,0.07203306435923632
S_180,0.09350665658712387,0.30090656876564026,0.051068417727947235,-0.1934547338047387,3773,0,2.6504108136690953e-12,2.6504108136690953e-12,0.16732751784408229,0.09130246646604456
S_181,0.09849758446216583,0.3100675940513611,0.05028446018695831,-0.16022895082861757,3486,0,2.8686173264404228e-12,2.8686173264404228e-12,0.20905326288846343,0.11672779461151854
S_182,0.09673940390348434,0.3071932792663574,0.043913815170526505,-0.2445764152764876,3457,0,2.892681515756747e-12,2.892681515756747e-12,0.1255242227055307,0.06696497454240555
S_183,0.09330996125936508,0.30208584666252136,0.030100157484412193,-0.24189524744516377,2440,0,4.098360655720908e-12,4.098360655720908e-12,0.05826033815632867,0.030004196393138893
